i,vx,vy
-0.009,-0.187,-0.2215
-0.01,-0.187,-0.223
-0.015,-0.188,-0.2275
-0.0195,-0.189,-0.2265
-0.0195,-0.186,-0.219
-0.0185,-0.1875,-0.212
-0.018,-0.188,-0.211
-0.0225,-0.1885,-0.2115
-0.028,-0.19,-0.206
-0.029,-0.186,-0.2065
-0.027,-0.188,-0.2115
-0.027,-0.1925,-0.216
-0.0285,-0.197,-0.221
-0.03,-0.2,-0.2275
-0.0325,-0.2035,-0.2345
-0.037,-0.208,-0.2375
-0.039,-0.21,-0.235
-0.0405,-0.214,-0.234
-0.044,-0.2195,-0.2395
-0.048,-0.2235,-0.245
-0.0545,-0.2265,-0.2455
-0.0535,-0.2265,-0.2465
-0.0535,-0.2255,-0.248
-0.0615,-0.229,-0.2465
-0.064,-0.2315,-0.2435
-0.066,-0.233,-0.244
-0.071,-0.2365,-0.253
-0.0715,-0.2405,-0.259
-0.07,-0.243,-0.259
-0.07,-0.2455,-0.2625
-0.071,-0.247,-0.2665
-0.0695,-0.251,-0.2695
-0.068,-0.253,-0.273
-0.0675,-0.2535,-0.277
-0.0675,-0.2565,-0.28
-0.066,-0.258,-0.284
-0.068,-0.2605,-0.2835
-0.071,-0.2605,-0.2815
-0.071,-0.2615,-0.2825
-0.071,-0.263,-0.286
-0.0665,-0.2635,-0.2885
-0.0645,-0.2635,-0.2885
-0.0675,-0.265,-0.288
-0.067,-0.266,-0.2845
-0.067,-0.265,-0.283
-0.0695,-0.267,-0.2855
-0.0715,-0.266,-0.2905
-0.072,-0.267,-0.2885
-0.0705,-0.2655,-0.283
-0.073,-0.265,-0.282
-0.072,-0.2665,-0.2785
-0.0715,-0.2675,-0.278
-0.075,-0.2695,-0.281
-0.073,-0.269,-0.2875
-0.074,-0.27,-0.2935
-0.076,-0.27,-0.2905
-0.0765,-0.2695,-0.2875
-0.075,-0.268,-0.288
-0.0745,-0.267,-0.286
-0.0765,-0.2675,-0.2825
-0.0775,-0.2675,-0.2845
-0.078,-0.2685,-0.2895
-0.076,-0.268,-0.287
-0.0785,-0.267,-0.2815
-0.079,-0.2675,-0.2805
-0.077,-0.2685,-0.283
-0.0785,-0.268,-0.284
-0.0785,-0.267,-0.2825
-0.078,-0.268,-0.28
-0.0775,-0.27,-0.2825
-0.0785,-0.272,-0.2825
-0.0805,-0.2725,-0.2835
-0.079,-0.275,-0.2895
-0.076,-0.2755,-0.295
-0.0755,-0.2745,-0.303
-0.0765,-0.2765,-0.313
-0.0715,-0.279,-0.3265
-0.063,-0.2735,-0.336
-0.0565,-0.2675,-0.342
-0.0545,-0.2645,-0.3465
-0.0535,-0.262,-0.349
-0.0555,-0.2645,-0.347
-0.0635,-0.2655,-0.333
-0.075,-0.268,-0.3165
-0.0785,-0.265,-0.298
-0.067,-0.2375,-0.2755
-0.06,-0.205,-0.2635
-0.053,-0.174,-0.2515
-0.034,-0.1305,-0.2385
-0.0165,-0.0835,-0.225
-0.003,-0.034,-0.205
0.0195,0.0175,-0.1905
0.0435,0.071,-0.177
0.071,0.133,-0.161
0.1085,0.2165,-0.148
0.1535,0.333,-0.1335
0.198,0.461,-0.107
0.225,0.5805,-0.062
0.2405,0.6995,-0.0065
0.2615,0.8365,0.053
0.2885,0.989,0.1145
0.328,1.1525,0.172
0.377,1.3215,0.217
0.4125,1.4765,0.2595
0.4415,1.619,0.298
0.4665,1.7565,0.3335
0.489,1.872,0.378
0.519,1.973,0.4235
0.539,2.052,0.4565
0.5525,2.0925,0.4665
0.556,2.101,0.4775
0.55,2.0865,0.5045
0.5325,2.04,0.5325
0.5105,1.9495,0.551
0.488,1.853,0.564
0.45,1.7395,0.587
0.4075,1.602,0.6055
0.3595,1.464,0.6075
0.309,1.327,0.616
0.256,1.1835,0.627
0.2045,1.041,0.625
0.1605,0.905,0.6245
0.116,0.7625,0.6325
0.0695,0.6205,0.6465
0.027,0.488,0.643
-0.0055,0.371,0.63
-0.028,0.2705,0.6185
-0.0305,0.2105,0.5835
-0.031,0.171,0.543
-0.0405,0.126,0.5115
-0.0455,0.088,0.4675
-0.05,0.0455,0.4145
-0.0555,-0.005,0.367
-0.0615,-0.0455,0.3165
-0.061,-0.0755,0.274
-0.07,-0.1125,0.2545
-0.0795,-0.146,0.2395
-0.078,-0.1675,0.2275
-0.0805,-0.184,0.211
-0.084,-0.201,0.183
-0.082,-0.2075,0.16
-0.081,-0.216,0.131
-0.077,-0.2215,0.0975
-0.072,-0.2255,0.0645
-0.076,-0.2375,0.0345
-0.078,-0.2395,0.017
-0.08,-0.2385,-0.002
-0.081,-0.2345,-0.017
-0.0775,-0.2285,-0.0275
-0.0775,-0.2245,-0.042
-0.0805,-0.225,-0.0615
-0.0765,-0.225,-0.081
-0.0695,-0.2195,-0.0915
-0.067,-0.212,-0.1085
-0.065,-0.208,-0.1235
-0.062,-0.2055,-0.1305
-0.0625,-0.205,-0.1415
-0.0635,-0.2045,-0.151
-0.064,-0.203,-0.1575
-0.0665,-0.207,-0.166
-0.066,-0.2095,-0.1755
-0.0665,-0.212,-0.1805
-0.0655,-0.2155,-0.1835
-0.0615,-0.216,-0.1835
-0.0605,-0.218,-0.185
-0.063,-0.2205,-0.1915
-0.0665,-0.2235,-0.1975
-0.0665,-0.2255,-0.198
-0.067,-0.2245,-0.199
-0.069,-0.2265,-0.204
-0.0675,-0.2245,-0.202
-0.065,-0.2265,-0.201
-0.0665,-0.2285,-0.205
-0.0655,-0.2275,-0.21
-0.0615,-0.23,-0.2135
-0.0585,-0.2295,-0.2105
-0.0555,-0.2285,-0.21
-0.0565,-0.231,-0.2145
-0.0575,-0.2335,-0.214
-0.0565,-0.2325,-0.215
