i,vx,vy
-0.658,-0.0725,1.6095
-0.66,-0.0605,1.629
-0.6575,-0.0425,1.6465
-0.652,-0.026,1.661
-0.643,-0.0065,1.669
-0.6375,0.009,1.6765
-0.6375,0.0205,1.684
-0.633,0.0365,1.6925
-0.6245,0.0545,1.7015
-0.614,0.0705,1.712
-0.6035,0.088,1.7215
-0.595,0.1005,1.726
-0.589,0.109,1.7305
-0.5815,0.1205,1.7345
-0.5745,0.1305,1.74
-0.568,0.1395,1.7405
-0.5635,0.144,1.744
-0.5625,0.1445,1.75
-0.561,0.145,1.75
-0.559,0.1495,1.7515
-0.559,0.1495,1.753
-0.559,0.1495,1.753
-0.5585,0.1525,1.752
-0.5615,0.155,1.7515
-0.561,0.1565,1.753
-0.5585,0.155,1.7555
-0.561,0.157,1.756
-0.5625,0.1585,1.756
-0.5625,0.1575,1.758
-0.5615,0.156,1.7575
-0.557,0.159,1.7575
-0.5555,0.159,1.758
-0.558,0.155,1.76
-0.559,0.158,1.76
-0.5575,0.159,1.761
-0.5545,0.1595,1.7615
-0.553,0.1595,1.761
-0.5515,0.1595,1.764
-0.55,0.1595,1.764
-0.5525,0.161,1.7625
-0.5525,0.1625,1.764
-0.551,0.1635,1.7655
-0.5495,0.1635,1.7655
-0.549,0.1625,1.7655
-0.549,0.166,1.7675
-0.5485,0.1655,1.769
-0.5485,0.166,1.77
-0.5495,0.1695,1.768
-0.5525,0.169,1.767
-0.5505,0.1675,1.7695
-0.5495,0.169,1.769
-0.55,0.17,1.7675
-0.548,0.167,1.768
-0.5465,0.1685,1.7675
-0.5425,0.1695,1.7675
-0.5445,0.171,1.767
-0.5445,0.1725,1.768
-0.546,0.1705,1.7675
-0.5475,0.171,1.7645
-0.545,0.1715,1.7655
-0.546,0.1725,1.766
-0.5465,0.1735,1.766
-0.549,0.174,1.767
-0.549,0.176,1.7685
-0.546,0.177,1.7695
-0.545,0.1775,1.77
-0.545,0.179,1.772
-0.544,0.1775,1.7735
-0.5455,0.178,1.772
-0.544,0.1795,1.7725
-0.5415,0.1805,1.7715
-0.541,0.1825,1.7715
-0.5385,0.183,1.7725
-0.5365,0.1845,1.773
-0.534,0.187,1.7725
-0.535,0.1855,1.7715
