i,vx,vy
0.252,0.672,-0.332
0.25,0.6745,-0.3305
0.2415,0.672,-0.3295
0.2365,0.673,-0.329
0.2405,0.6715,-0.333
0.2435,0.6735,-0.3325
0.2445,0.674,-0.3265
0.2425,0.6715,-0.3265
0.2455,0.6725,-0.3375
0.2515,0.67,-0.3475
0.254,0.672,-0.346
0.247,0.6745,-0.342
0.239,0.672,-0.34
0.246,0.67,-0.3415
0.25,0.669,-0.3385
0.246,0.67,-0.3365
0.2415,0.6695,-0.3335
0.239,0.6645,-0.3265
0.2415,0.6615,-0.3275
0.2455,0.6705,-0.328
0.2485,0.6735,-0.3305
0.2505,0.666,-0.334
0.2515,0.6715,-0.339
0.255,0.676,-0.3445
0.2545,0.6775,-0.3315
0.2465,0.6775,-0.321
0.2485,0.6725,-0.3285
0.251,0.6685,-0.327
0.251,0.671,-0.322
0.2445,0.6715,-0.3235
0.241,0.668,-0.3225
0.2475,0.672,-0.328
0.244,0.6715,-0.328
0.249,0.6705,-0.3265
0.2495,0.6735,-0.332
0.24,0.6655,-0.327
0.238,0.6625,-0.32
0.2435,0.6695,-0.315
0.249,0.667,-0.315
0.2445,0.662,-0.3195
0.2525,0.6645,-0.3225
0.259,0.6655,-0.3235
0.253,0.667,-0.317
0.253,0.672,-0.3115
0.253,0.6665,-0.311
0.2575,0.665,-0.3145
0.262,0.6675,-0.3195
0.258,0.662,-0.331
0.2615,0.672,-0.344
0.2715,0.682,-0.3485
0.2755,0.6835,-0.356
0.293,0.689,-0.3625
0.313,0.699,-0.3735
0.3225,0.7115,-0.394
0.3365,0.7175,-0.4015
0.352,0.7345,-0.404
0.369,0.757,-0.404
0.3845,0.7715,-0.4055
0.3965,0.791,-0.405
0.418,0.8125,-0.401
0.44,0.833,-0.3995
0.449,0.851,-0.3895
0.452,0.873,-0.376
0.4655,0.8995,-0.3565
0.481,0.924,-0.3355
0.488,0.9595,-0.307
0.494,1.0,-0.2755
0.5085,1.054,-0.234
0.5545,1.1405,-0.1925
0.6025,1.2205,-0.153
0.6305,1.277,-0.1095
0.661,1.3445,-0.08
0.708,1.43,-0.0325
0.756,1.508,0.024
0.7785,1.574,0.084
0.804,1.642,0.1405
0.8355,1.701,0.1785
0.864,1.7555,0.22
0.8845,1.798,0.2535
0.888,1.806,0.286
0.884,1.8,0.327
0.8555,1.7635,0.366
0.816,1.701,0.4
0.7835,1.6465,0.424
0.7375,1.564,0.4305
0.6985,1.4805,0.427
0.6495,1.4005,0.4325
0.5765,1.301,0.456
0.507,1.1915,0.4795
0.4255,1.0825,0.5
0.3535,0.9905,0.517
0.249,0.8545,0.5465
0.121,0.698,0.592
0.0145,0.5505,0.6195
-0.0565,0.4475,0.6435
-0.114,0.3675,0.657
-0.1925,0.268,0.667
-0.2365,0.231,0.6785
-0.266,0.2145,0.679
-0.2765,0.2,0.6885
-0.267,0.1985,0.6815
-0.2635,0.2005,0.6625
-0.2585,0.2025,0.627
-0.248,0.192,0.5355
-0.2375,0.179,0.444
-0.231,0.158,0.335
-0.222,0.145,0.2265
-0.218,0.14,0.1815
-0.212,0.142,0.1395
-0.194,0.1685,0.085
-0.1595,0.208,0.0445
-0.1295,0.236,0.0275
-0.1075,0.2595,0.0105
-0.091,0.2795,-0.014
-0.083,0.285,-0.0235
-0.0905,0.2795,-0.036
-0.0945,0.2745,-0.059
-0.0835,0.291,-0.0725
-0.075,0.3085,-0.089
-0.065,0.3105,-0.117
-0.066,0.32,-0.141
-0.0765,0.3225,-0.1595
-0.0725,0.326,-0.1765
-0.056,0.341,-0.193
-0.049,0.35,-0.1995
-0.0405,0.36,-0.1965
-0.0415,0.3525,-0.198
-0.0515,0.348,-0.1955
-0.0495,0.351,-0.191
-0.051,0.352,-0.204
-0.0625,0.356,-0.211
-0.0635,0.3495,-0.215
